Id;PropertyTypeId;CountryId;DivisionId;Order
17678B5C-92FC-E511-827B-8CDCD42BACB8;E4668B5C-92FC-E511-827B-8CDCD42BACB8;91F3F049-92FC-E511-827B-8CDCD42BACB8;A9668B5C-92FC-E511-827B-8CDCD42BACB8;1
18678B5C-92FC-E511-827B-8CDCD42BACB8;E5668B5C-92FC-E511-827B-8CDCD42BACB8;91F3F049-92FC-E511-827B-8CDCD42BACB8;A9668B5C-92FC-E511-827B-8CDCD42BACB8;2
19678B5C-92FC-E511-827B-8CDCD42BACB8;E6668B5C-92FC-E511-827B-8CDCD42BACB8;91F3F049-92FC-E511-827B-8CDCD42BACB8;A9668B5C-92FC-E511-827B-8CDCD42BACB8;3
1A678B5C-92FC-E511-827B-8CDCD42BACB8;E7668B5C-92FC-E511-827B-8CDCD42BACB8;91F3F049-92FC-E511-827B-8CDCD42BACB8;A9668B5C-92FC-E511-827B-8CDCD42BACB8;4
1B678B5C-92FC-E511-827B-8CDCD42BACB8;E8668B5C-92FC-E511-827B-8CDCD42BACB8;91F3F049-92FC-E511-827B-8CDCD42BACB8;A9668B5C-92FC-E511-827B-8CDCD42BACB8;5
1C678B5C-92FC-E511-827B-8CDCD42BACB8;E9668B5C-92FC-E511-827B-8CDCD42BACB8;91F3F049-92FC-E511-827B-8CDCD42BACB8;A9668B5C-92FC-E511-827B-8CDCD42BACB8;6
1D678B5C-92FC-E511-827B-8CDCD42BACB8;EA668B5C-92FC-E511-827B-8CDCD42BACB8;91F3F049-92FC-E511-827B-8CDCD42BACB8;A9668B5C-92FC-E511-827B-8CDCD42BACB8;7
1E678B5C-92FC-E511-827B-8CDCD42BACB8;EB668B5C-92FC-E511-827B-8CDCD42BACB8;91F3F049-92FC-E511-827B-8CDCD42BACB8;A9668B5C-92FC-E511-827B-8CDCD42BACB8;8
1F678B5C-92FC-E511-827B-8CDCD42BACB8;EC668B5C-92FC-E511-827B-8CDCD42BACB8;91F3F049-92FC-E511-827B-8CDCD42BACB8;A9668B5C-92FC-E511-827B-8CDCD42BACB8;9
20678B5C-92FC-E511-827B-8CDCD42BACB8;ED668B5C-92FC-E511-827B-8CDCD42BACB8;91F3F049-92FC-E511-827B-8CDCD42BACB8;A9668B5C-92FC-E511-827B-8CDCD42BACB8;10
21678B5C-92FC-E511-827B-8CDCD42BACB8;EE668B5C-92FC-E511-827B-8CDCD42BACB8;91F3F049-92FC-E511-827B-8CDCD42BACB8;A9668B5C-92FC-E511-827B-8CDCD42BACB8;11
22678B5C-92FC-E511-827B-8CDCD42BACB8;EF668B5C-92FC-E511-827B-8CDCD42BACB8;91F3F049-92FC-E511-827B-8CDCD42BACB8;A9668B5C-92FC-E511-827B-8CDCD42BACB8;12
23678B5C-92FC-E511-827B-8CDCD42BACB8;F0668B5C-92FC-E511-827B-8CDCD42BACB8;91F3F049-92FC-E511-827B-8CDCD42BACB8;A9668B5C-92FC-E511-827B-8CDCD42BACB8;13
24678B5C-92FC-E511-827B-8CDCD42BACB8;F1668B5C-92FC-E511-827B-8CDCD42BACB8;91F3F049-92FC-E511-827B-8CDCD42BACB8;A9668B5C-92FC-E511-827B-8CDCD42BACB8;14
25678B5C-92FC-E511-827B-8CDCD42BACB8;F2668B5C-92FC-E511-827B-8CDCD42BACB8;91F3F049-92FC-E511-827B-8CDCD42BACB8;A9668B5C-92FC-E511-827B-8CDCD42BACB8;15
26678B5C-92FC-E511-827B-8CDCD42BACB8;F3668B5C-92FC-E511-827B-8CDCD42BACB8;91F3F049-92FC-E511-827B-8CDCD42BACB8;A9668B5C-92FC-E511-827B-8CDCD42BACB8;16
27678B5C-92FC-E511-827B-8CDCD42BACB8;F4668B5C-92FC-E511-827B-8CDCD42BACB8;91F3F049-92FC-E511-827B-8CDCD42BACB8;A9668B5C-92FC-E511-827B-8CDCD42BACB8;17
28678B5C-92FC-E511-827B-8CDCD42BACB8;F5668B5C-92FC-E511-827B-8CDCD42BACB8;91F3F049-92FC-E511-827B-8CDCD42BACB8;A9668B5C-92FC-E511-827B-8CDCD42BACB8;18
29678B5C-92FC-E511-827B-8CDCD42BACB8;F6668B5C-92FC-E511-827B-8CDCD42BACB8;91F3F049-92FC-E511-827B-8CDCD42BACB8;A9668B5C-92FC-E511-827B-8CDCD42BACB8;19
2A678B5C-92FC-E511-827B-8CDCD42BACB8;F7668B5C-92FC-E511-827B-8CDCD42BACB8;91F3F049-92FC-E511-827B-8CDCD42BACB8;A9668B5C-92FC-E511-827B-8CDCD42BACB8;20
2B678B5C-92FC-E511-827B-8CDCD42BACB8;D9668B5C-92FC-E511-827B-8CDCD42BACB8;91F3F049-92FC-E511-827B-8CDCD42BACB8;A7668B5C-92FC-E511-827B-8CDCD42BACB8;21
2C678B5C-92FC-E511-827B-8CDCD42BACB8;DA668B5C-92FC-E511-827B-8CDCD42BACB8;91F3F049-92FC-E511-827B-8CDCD42BACB8;A7668B5C-92FC-E511-827B-8CDCD42BACB8;22
2D678B5C-92FC-E511-827B-8CDCD42BACB8;DB668B5C-92FC-E511-827B-8CDCD42BACB8;91F3F049-92FC-E511-827B-8CDCD42BACB8;A7668B5C-92FC-E511-827B-8CDCD42BACB8;23
2E678B5C-92FC-E511-827B-8CDCD42BACB8;DC668B5C-92FC-E511-827B-8CDCD42BACB8;91F3F049-92FC-E511-827B-8CDCD42BACB8;A7668B5C-92FC-E511-827B-8CDCD42BACB8;24
